GeneSymbol,CCDC69,FGD6,SOX4,LAMC2,TACSTD2,TRIM29,SOX9,TPBG,MET,CEACAM6,COL11A1,S100P,DKK1,F5,COL10A1,KRT7,FN1,SULF1,GPRC5A,TNFRSF21,COL8A1,BACE2,S100A6,FRMD5,Results
GSM2349066,7.059261604,3.50254308,7.306321814,3.868797122,3.657413466,3.494453092,4.637503644,5.431561944,3.747487022,5.298447763,3.726970969,8.249077948,3.239788199,4.661546036,3.4148369,3.827355149,6.359934034,5.841980881,3.649720566,5.514881697,3.618375578,5.722216212,11.61834018,3.375422282,1
GSM2349067,5.768514868,3.663754063,6.098852899,3.795007152,5.522961013,3.3100652,4.339789077,4.525435083,3.516142193,7.38086173,3.635776239,12.08115909,3.599893803,5.258848245,3.080335269,3.53024415,5.104911395,5.848642426,3.51418016,4.500595419,3.502933994,5.154809953,11.3678205,3.220838743,1
GSM2349068,6.819369434,3.808421269,7.0951397,4.396540717,4.289429337,3.804478781,4.576147756,4.862097869,3.811634083,5.691292971,4.238504743,6.627991738,5.226087022,4.89386045,3.386798518,3.65635651,5.569088015,6.170813148,4.481134395,4.643072202,3.880550008,6.009865204,11.80158336,4.237856741,1
GSM2349069,6.96801353,3.815990963,6.495765371,4.087709145,4.103040396,3.421561017,4.744135127,5.834800715,3.873347665,5.254588538,4.213174331,9.90820082,3.766405395,5.007931116,3.423342848,4.012259198,5.789669335,6.422467434,3.788490732,5.816356109,3.841988241,5.695963989,11.74046255,3.966225236,1
GSM2349070,7.198557356,3.649435537,6.614821896,4.258927706,3.847178654,3.794593384,4.831294446,5.104618911,4.106031699,5.630928376,4.098319532,7.588949751,4.384945363,4.991345775,3.721683731,4.296062976,5.257448957,6.446043758,3.925748185,5.02777146,3.67916247,5.865106036,11.04632096,3.460776086,1
GSM2349071,6.619140232,3.935922629,6.336531405,4.094385605,3.955907002,3.490162153,4.532080187,5.804726178,3.945518069,5.019650295,5.121392916,6.855657945,3.790508582,4.612971085,3.43007446,3.903503588,7.571716743,6.835980143,3.728529312,5.277084209,3.64301258,5.8699816,11.29992389,3.651493788,1
GSM2349072,6.745235996,3.9842315,6.38548087,4.177607714,4.35364091,3.511526798,4.772362333,4.937749332,3.787274637,5.887258124,4.042252573,7.503629122,3.885443381,4.934464613,3.430426901,3.814411061,6.278396227,6.299936143,3.717950889,4.91981429,4.018145338,5.850286414,10.71655277,4.150525141,1
GSM2349073,6.654365281,4.426695638,6.395643759,4.022077102,3.895651597,3.8297714,4.668632292,4.849056501,3.985719717,5.813710283,4.481698114,7.355100979,4.13514142,4.901203742,3.777191515,4.236047696,5.21880905,6.281397003,3.693049759,4.855944942,4.015157498,5.421393849,10.85143108,3.63541182,1
GSM2349074,7.349347984,3.372609821,7.286874701,3.945386276,4.00546323,3.57053424,4.898003986,5.072467582,3.522145345,4.523113688,3.413061657,6.545201056,4.606495414,4.002786677,3.698600122,4.031670966,6.491832743,5.918045455,3.444849565,5.554107853,3.964674551,6.215361989,11.7684737,2.868607376,1
GSM2349075,7.378624598,3.09958456,7.194267385,3.430695472,2.940626239,3.267807121,4.283440663,5.246617246,3.6304744,4.308745471,3.386597356,7.228779522,3.963508687,4.564283032,2.752878043,3.882722116,6.381907776,5.537248071,3.354722798,6.380609981,3.489719856,6.18028064,11.62431696,3.141290771,1
GSM2349076,7.589461558,3.225354858,7.095590596,3.483558714,3.060740047,3.462057872,4.235541339,4.83678853,3.674006838,4.266974481,3.34280392,7.533952777,4.012668813,4.474245948,2.95954123,3.782883198,6.203672384,5.513232394,3.039938113,6.163838645,3.67653049,6.103501546,11.64932563,3.02333111,1
GSM2349077,7.893595391,3.089264267,7.226220177,3.664438529,3.067350295,3.083775769,4.346187388,6.305788039,4.059218511,4.261182548,2.84026668,6.8805802,4.18633992,5.150864322,2.707713024,4.342529636,7.997828143,6.196803805,3.955419231,7.080567847,3.392807088,6.721089353,12.01239073,2.986506517,1
GSM2349078,8.081380299,3.256685334,7.249246072,3.528018598,3.841654664,3.406745842,4.194918163,5.335678918,3.945657587,4.212476412,3.706710467,8.333807155,3.034923458,3.97577372,3.077466733,4.579039302,7.244919427,6.197529682,5.716083648,7.102074636,4.095233778,6.630552865,11.57345946,3.21670734,1
GSM2349079,7.015875797,3.618603412,6.10262985,3.637315272,3.358532022,3.06913727,3.962961185,4.496428046,3.431184927,4.530685473,3.454815819,9.326006426,3.053924766,4.769669598,3.133812582,3.555261341,6.939626507,5.330111825,3.11850455,6.427278994,3.72223219,5.307690715,12.22490381,2.978705556,0
GSM2349080,7.555165149,3.743976164,6.633682373,3.691553698,3.179152604,3.253624347,4.566506405,5.051407361,3.531121572,4.831992093,3.133462229,7.270251759,5.425273759,5.552734003,2.952188919,3.898512824,7.467560167,5.36503418,3.255320041,6.505040635,3.145263977,5.56852817,12.66250657,3.018549572,0
GSM2349081,6.659766786,3.929131095,6.782678885,4.004130412,3.653128755,3.466225598,4.545620589,5.117841237,3.970583055,5.597446134,3.840824232,7.49505624,4.266183449,4.667974849,3.735661685,4.547629602,7.002917323,5.853324699,4.184457929,5.488765766,3.88637689,5.723001074,12.25436946,3.836277853,0
GSM2349082,7.182099779,3.815498204,6.692100322,4.130377785,3.848200859,3.418392733,4.799857297,5.206677109,4.011072913,5.676989816,3.773683147,6.266455209,3.810357466,4.751661076,3.524379594,3.964967916,6.796579425,6.345848717,3.62648717,5.539780578,3.740510706,5.55495864,11.59194015,3.333189904,0
GSM2349083,6.997193869,3.917806344,7.121744183,4.0527777,3.769141862,3.563067448,4.507088104,6.172829833,4.58964537,5.176957128,3.897804654,6.098127924,3.577349153,4.574535481,3.391253399,5.034052117,6.848207525,8.090877912,3.908419995,6.577967905,4.223781576,5.609274812,11.69897235,3.194811768,0
GSM2349084,7.053602659,3.926771299,6.482651233,4.11930187,4.289068517,3.616184138,4.712033341,4.799776919,4.240207384,5.586894138,3.969607881,6.105892825,3.58142374,4.724702914,3.777772403,4.142404666,6.943820683,6.107422738,3.63274381,5.706705642,3.739655961,5.713417291,11.59985075,4.185345916,0
GSM2349085,6.967309095,3.555560918,6.857004059,3.648079992,3.067247207,3.282543909,4.586089746,5.223665694,3.842568964,4.762896812,3.306283242,5.395737881,3.616840613,3.775841865,3.076352867,3.531748422,8.451122852,6.853258193,3.360115866,7.430632502,3.771727087,5.979975492,12.27787197,3.268759613,0
GSM2349086,6.566103307,3.627506805,6.028121618,3.71084336,3.614312432,3.465386334,4.562949717,5.016228953,4.152284142,5.191704678,3.824307238,8.280667164,3.432143598,4.526843864,3.261282472,4.224007409,6.434041392,6.047374394,3.462276581,5.834011294,3.437733094,5.776132119,12.00152096,3.72910749,0
GSM2349087,6.713543668,3.645741255,7.17511424,3.971483282,3.352338537,3.713724619,4.26935457,7.302177209,4.413426851,5.43503001,3.590974715,5.736841537,3.642777244,4.445212961,3.416030084,7.280744057,6.544842579,8.95472413,3.774349107,6.282454937,4.195289656,5.889572189,12.1471895,3.787919185,0
GSM2349088,7.930012811,3.689463681,6.971409016,3.327241622,3.193939623,3.138526343,3.988277507,5.564226327,3.787701815,4.065147085,3.302423924,4.484557367,3.107080445,3.200369233,2.663264186,3.867783716,7.166188211,5.844048524,3.122947647,7.454488294,4.142877417,6.036008367,11.96502593,2.939302782,0
GSM2349089,6.885309426,3.120187889,7.878404662,4.109739318,2.976341127,3.177399828,4.343614901,6.003024648,4.22891677,4.192180426,2.780766475,8.611748726,4.712932265,4.759353394,2.646032192,3.493189136,5.987742438,6.21500294,3.442260739,7.304360372,2.93005968,6.061543115,11.62429155,2.957229388,0
GSM2349090,8.15841417,4.02436887,7.042791595,3.443193825,3.384439063,3.069668539,4.277875724,5.582892247,3.701287975,3.871859121,3.665913376,5.019488101,2.967717657,3.419795312,2.633148332,3.591264974,6.764002825,5.774661025,2.80722975,7.852771458,4.001216568,6.047781673,12.13728259,2.929033233,0
GSM2349091,7.64459021,3.091681135,7.071901715,3.462193219,3.04856097,3.136276785,4.768292388,5.793144751,3.979216147,4.150188345,2.934844444,8.750565645,3.511792168,4.050319802,2.844248886,3.81673586,6.623027692,6.344902365,4.86331501,7.206652819,3.413748428,5.950249241,11.20078794,3.027800653,0
GSM2349092,7.756143211,3.350761196,7.334442707,3.721264451,3.363688631,3.292428075,4.349569493,5.362773988,3.777171651,4.509706607,3.753712722,5.564197139,3.527051475,3.721996107,2.857088371,3.972046304,7.311697455,6.098852802,3.304744458,7.053960717,3.846908092,5.947221812,11.91869392,3.091527166,0
GSM2349093,6.368055067,3.949145512,8.263737646,3.254654704,2.852476933,3.491346005,5.478622039,8.422290675,4.213170701,4.12385439,3.235470751,5.744127703,3.408493246,5.074517677,2.818338541,5.524193496,9.266052149,9.410385738,6.681680085,8.257299529,4.577804802,7.187255413,12.16043207,3.040998565,0
GSM2349094,6.62887371,4.442364567,7.032108849,3.317619075,2.981335731,3.14646303,4.514994642,5.326716712,3.394270326,4.38915172,2.831248876,5.107946442,3.726114875,3.548761261,2.81618563,4.114075347,8.307665296,5.743728914,3.112125512,6.898255109,3.173949254,5.939879288,11.77313935,3.041610877,1
GSM2349095,6.995333833,3.846215321,7.178176001,3.300705707,3.137810783,3.32942741,4.385211591,6.020057041,3.702179317,4.537490778,2.985658143,5.509636385,3.442287506,3.670700166,2.819672052,5.827256818,8.061055081,6.994116632,3.276590521,7.015871556,3.555024015,6.040332699,11.99277726,3.471059428,1
GSM2349096,6.965968811,3.620175903,6.501992691,3.847666358,3.665774754,3.181468625,5.033775822,5.369869897,3.836343201,4.856758008,3.639417562,6.902600901,4.217479617,4.117241159,3.035276801,3.311116832,7.267022178,6.436222747,3.337057741,6.460904842,3.621487311,5.92392275,12.17393585,3.161084447,1
GSM2349097,6.32423657,4.156527449,6.809230337,4.140867627,3.819067824,3.251437203,4.195075622,4.506246567,3.641944419,5.171600529,3.594519899,5.499832367,3.755026849,4.419489169,3.151952529,4.487615932,5.128486135,5.570541701,3.475555788,5.710827378,3.380185635,6.115069944,10.89072669,3.560031857,1
GSM2349098,7.047419898,3.806442233,5.968105277,4.118952243,4.107070918,3.539396934,4.884666089,4.601035929,4.06345071,5.199074933,4.367693438,5.928177465,3.834378829,5.007321174,3.548411364,4.071289678,5.519525836,5.714890942,4.268239203,6.200954408,4.365928081,5.618557506,11.80616358,3.538131868,1
GSM2349099,6.473751264,3.970282823,6.605937354,4.436448928,4.23804662,3.707288458,4.513277869,4.365732196,3.661719884,5.313081325,3.682288927,5.927483144,3.809319155,4.628673712,3.332547276,4.462478838,4.905830385,6.027838212,3.610175799,5.404561631,3.611296173,5.974078222,10.70051584,3.475192263,1
GSM2349100,6.654817942,4.308625042,6.632867504,3.492880129,2.863010049,2.866487686,4.661959982,5.235883382,3.384731212,4.182107308,3.006865375,4.572502998,3.294064617,3.516399636,2.854630959,3.237700446,7.87131683,5.537960508,3.116757677,7.180267091,3.270492002,5.739616459,11.98716766,2.921587454,1
GSM2349101,6.494997387,3.668853302,7.619363681,3.849165736,3.490339849,3.287941065,3.832450174,7.823585023,5.331586658,4.737429214,3.340529027,4.912979709,3.277833554,3.938001164,3.190264882,6.785437755,6.713411556,9.908463795,3.867284768,7.353465507,4.410213708,5.815612006,11.95895101,3.365979321,1
GSM2349102,7.525939981,3.301913203,6.910925165,3.277856275,3.711731259,3.082817296,4.266849084,6.08787898,4.00864211,4.107106719,2.868883689,5.186389251,3.537971199,3.331859041,2.66080321,4.780946437,8.561556448,6.598480755,3.598887202,7.653191915,3.604417582,6.727991765,12.17840698,2.892194167,1
GSM2349103,6.87634494,3.239253631,7.567153167,3.74452458,3.36495809,3.054686687,4.284189222,5.046929233,3.777149204,4.51534186,3.1575413,5.451573861,3.557258817,3.782910954,3.215254276,5.584555956,7.670746943,6.916750387,3.379542491,7.04045403,3.580152241,6.025606602,12.06566157,3.080358759,1
GSM2349104,7.027495031,3.583270967,7.524088325,3.713815289,3.322061321,3.421947971,4.007525009,5.029078109,3.738463472,4.692586668,3.395796931,5.523903986,3.493183626,3.801811981,3.358488463,4.428228837,7.107277223,6.465488065,3.410857428,7.247132244,3.383001603,6.211309483,11.67235965,3.370147781,1
GSM2349105,7.549066351,3.383049355,6.981037329,3.386097796,3.60372962,3.092924835,4.188669098,5.568458082,3.810504387,4.090815385,3.028718048,5.154558861,3.538571342,3.306648515,2.764600196,4.058433858,8.367407784,6.267960463,3.382013237,7.323433705,3.812761709,6.517278841,12.17896949,2.923464027,1
GSM2349106,8.020171768,2.932071517,6.809024008,3.647886993,3.787287048,3.275333779,4.272923217,4.846427243,3.941711016,4.261297954,2.979056645,10.66648157,3.257475281,4.712800363,3.079860834,4.694838429,6.520962095,5.657135912,5.424568173,6.674136123,4.112315034,6.031428902,11.81572013,3.096437405,1
GSM2349107,7.390774266,3.191970478,6.994134841,3.518869484,3.820556867,3.17165021,4.472250914,5.481550734,3.449838868,4.574022728,2.987590815,9.50443456,3.375008783,3.963403538,2.858160043,3.919209721,6.918198735,5.702592707,4.481170216,6.838892835,3.943286256,6.259402854,12.20213692,2.982958983,1
