ID,X1553102_a_at,X1555136_at,X1555137_a_at,X201417_at,X202267_at,X202286_s_at,X202504_at,X202935_s_at,X203476_at,X203510_at,X203757_s_at,X204320_at,X204351_at,X204602_at,X204713_s_at,X205941_s_at,X209016_s_at,X211719_x_at,X212354_at,X212444_at,X212464_s_at,X216442_x_at,X218856_at,X219901_at,X226237_at,X227051_at,X228923_at,X229479_at,X230831_at,X241137_at,X242397_at,group
GSM388118.CEL.gz,5.417554416,4.905500616,7.463012582,10.14573855,10.12420676,12.4857741,7.296202444,10.10311962,9.656076262,9.194344293,13.13965215,9.421717233,12.61342834,5.406933731,9.254187375,11.01367539,8.411213519,13.40304761,11.86656995,9.154444056,13.46496145,13.42823239,10.56583833,7.648066192,10.31730902,9.14320967,7.021786324,7.95027159,5.12617141,6.250758757,7.152102355,Tumor
GSM388119.CEL.gz,5.026018194,5.991269888,7.402445297,10.83360334,10.28025983,11.15297135,9.380735717,10.42037138,9.010289364,9.55410722,13.05049491,8.205543383,11.36463924,9.137982938,7.323723571,10.91428566,9.52373899,13.08447044,11.14424016,9.717188618,12.79611848,13.15575907,10.60722164,8.07214943,9.697668078,7.953776251,6.601407883,7.442152909,5.375513421,4.395148409,9.675684815,Tumor
GSM388120.CEL.gz,5.619295769,5.718044381,7.48801204,10.09762118,10.473922,10.9712673,9.244127604,10.21583762,9.03816916,9.621883828,13.07436449,8.506081713,11.46888857,9.062988747,7.080953371,10.56979885,9.382136635,13.15091379,11.14606308,10.15195543,13.0213924,13.27617935,10.6887857,8.168729017,9.653507541,8.03500174,6.656607526,7.517276849,5.709679182,4.705031549,9.330070218,Tumor
GSM388121.CEL.gz,5.739038126,5.766961573,7.049626328,10.35825977,10.18542488,13.4303529,9.293236919,8.853554777,9.802748719,10.30934971,13.07575092,10.02154874,13.27626208,7.893975779,6.920113749,11.87226254,11.07428086,13.59160235,11.69357574,10.31279117,13.53870302,13.69493475,11.67044893,7.683077097,10.96962769,7.940343642,8.079835353,8.110091978,5.432564621,10.96281603,7.593313985,Tumor
GSM388122.CEL.gz,6.391678981,3.76287707,5.449080325,8.942207836,7.357791633,9.952394437,6.414760953,7.135952691,9.060467487,7.637333763,9.933196661,6.401950377,6.172071083,6.47963691,6.07873145,8.180982968,6.659470234,12.56981329,10.47982797,9.366230875,12.33947833,12.57099574,9.646567054,6.059677796,10.61707704,6.900108511,6.182507808,5.855004841,4.037295724,3.51369253,6.249608335,Tumor
GSM388123.CEL.gz,6.701506911,3.711588335,5.216704656,8.84911644,7.146163275,10.18523845,5.719828521,8.596134477,8.616267232,7.61642405,4.684261512,5.224416284,7.796561675,5.04551153,6.131355029,6.075487392,6.922178778,12.91473622,9.94037262,8.427268782,12.57204987,12.91846573,8.89317142,5.600063832,9.385458006,7.4297746,5.087935479,4.904102156,3.816582312,3.830550734,5.813126356,Tumor
GSM388124.CEL.gz,7.037119912,3.929320315,5.910594558,9.138153742,8.436811406,11.18717596,8.65414039,7.610173369,8.286166301,8.828776469,10.7080431,5.61683051,10.22332533,7.204212708,6.411580461,7.997456016,7.24277079,11.66008072,8.991228193,8.305314045,11.35625313,11.70186253,9.28697728,6.474862206,7.452011289,7.198714928,5.320694057,5.062829781,4.069376037,5.940398073,9.41877381,Tumor
GSM388125.CEL.gz,7.014049214,4.920244971,6.417894644,9.927447191,9.003353792,10.56001844,7.641223205,8.227196817,9.100359216,9.284562269,8.641637403,4.688965383,10.33194274,8.018273576,7.156403976,8.562954255,8.40741436,12.63221998,10.09943019,8.297224511,12.44650106,12.6699184,9.880710731,7.137200968,9.471027104,6.669120118,5.009115827,6.819813695,4.268497338,4.880225261,7.628510636,Tumor
GSM388126.CEL.gz,5.629780131,4.832751802,6.524685341,10.21305217,10.76689026,11.60881657,8.750418279,9.668354667,8.958889691,9.879664357,9.574314577,8.37039923,11.59550878,7.881065302,6.342622963,9.401229761,8.912192433,13.04144666,11.12011609,9.214118053,12.94145543,13.20235311,9.60764872,7.437269827,8.840153266,5.900665507,6.197629057,5.901742041,4.99758194,5.547694135,8.225421695,Tumor
GSM388127.CEL.gz,5.630275784,4.053655729,6.013690183,10.32082685,8.856670019,12.22338234,5.790995886,9.738998227,9.423494522,8.826514462,9.886766825,6.492013658,5.100213021,4.421148497,6.128999194,10.89002874,8.845708589,12.75772628,11.21197903,7.632727001,12.5048408,12.75141528,10.01610766,6.987503629,10.23375552,7.526392287,5.259495336,6.148990716,4.179914046,3.724030983,9.371314326,Tumor
