"ID","X1553102_a_at","X1555136_at","X1555137_a_at","X201417_at","X202267_at","X202286_s_at","X202504_at","X202935_s_at","X203476_at","X203510_at","X203757_s_at","X204320_at","X204351_at","X204602_at","X204713_s_at","X205941_s_at","X209016_s_at","X211719_x_at","X212354_at","X212444_at","X212464_s_at","X216442_x_at","X218856_at","X219901_at","X226237_at","X227051_at","X228923_at","X229479_at","X230831_at","X241137_at","X242397_at"
"GSM388076.CEL.gz",1.01311218122065,-0.740019033955203,-0.0142348622700669,-0.92756887094054,-1.465741049209,-2.38830703754844,-1.29147712513117,-4.19758541720594,-1.31290340371365,-1.49880775466844,-1.77754354617877,-1.25804804635422,-0.939464265847284,-0.623761070186775,-1.57482740612454,-1.51912846995361,-2.03559929036898,-1.24902381739604,-1.54511939922044,-1.80318885432386,-1.22362665081226,-1.24630700948153,0.137069487349817,-0.181334704564471,-1.73281806190779,0.0550841457774171,-1.04154910964625,-1.09637191145323,-0.541691139044849,-1.03046472122648,-1.12609241593546
"GSM388077.CEL.gz",1.00450295699677,-0.602718285430949,0.014568100908491,-0.937231966602686,-1.12526123519982,-2.36365779898875,-1.53464126919728,-3.81444161776562,-1.38122786921177,-1.30823431649165,-1.78885609255559,-1.47733320806408,-0.908786673758024,-0.223637880327318,-1.44984695896878,-1.5563766722581,-1.83205820748663,-1.28696567163832,-1.63232478816488,-1.92031812142492,-1.23271659969648,-1.25856731702011,0.0607293671227732,-0.174320423124698,-1.59971408397348,0.389312686765199,-1.15252696646813,-1.15613252181764,-0.877038211053415,-0.993014683538788,-1.1369054949918
"GSM388078.CEL.gz",1.11645979187527,-1.54647226169221,-0.893895840324268,-1.83988941897099,-0.750032763017327,-0.646165315534812,-0.829623941706959,0.168842394019933,-1.95220654181513,-1.38636851422213,-1.2393234849728,-1.2321826718864,-1.58137485645118,-1.08195883920481,-0.897163505130922,-1.25657022679015,-1.21040729134793,-2.04201618796877,-1.86822818541255,-1.75029417030698,-1.98764280080931,-1.98070139184731,-1.65278811540205,-1.20257990808985,-1.90742200199721,-1.47241499693132,-0.568327708095979,-1.04239407453053,-0.633322931506414,-0.929350024179872,-1.36566824300795
"GSM388079.CEL.gz",1.0642937595035,-1.11112376545471,-1.10138661512938,-1.76665464033,-0.83731948804311,-0.59859320590656,-0.916492749435141,-0.0675351177359084,-1.74304275078853,-1.26262296870904,-1.38137198229709,-1.2629870793721,-1.31638860475791,-1.08324984062608,-0.736427747577913,-1.21933769197749,-1.11301016144362,-2.16911960966271,-1.7647115152081,-1.51723779547011,-2.20656086725055,-2.02275470134325,-1.86741875174803,-1.01558942211676,-1.78059893414641,-1.29873854587887,-1.0312323548473,-0.948072121843277,-0.854004754374915,-0.98020663035632,-0.88753907845696
"GSM388080.CEL.gz",0.533443859913217,-1.15785841766824,-0.867362131139226,-1.60019430995125,-0.946527727936272,-0.671835772246299,-0.689115245028973,-0.148772076429377,-1.64362617237624,-1.39899442879638,-0.719556586318898,-1.12808933193651,-0.977592429398977,-0.963509329536941,-0.706489458868905,-1.07882805347773,-1.08332289025171,-2.42606993520683,-1.95926580899994,-1.74300851603629,-2.22105123473354,-2.40862777813907,-2.08339813412936,-1.24801246131579,-1.66841419196509,-1.48755484291656,-0.684245391337805,-1.0226823646691,-0.941020114536081,-0.914094909862881,-1.56542643541381
"GSM388082.CEL.gz",0.907479831534743,-1.32758705164711,-1.19450047559345,-1.38673737362401,-0.787573063336336,-0.378597189089462,-0.730671401095148,-0.165091218247291,-1.97700932378766,-1.21376831419126,-1.36466407979923,-1.48565754283473,-1.47455198727874,-1.17400578761133,-0.839077459898393,-1.1217686558979,-1.09707935626006,-2.29872402314059,-2.04512038216775,-1.09617324146491,-2.25849158125701,-2.34494209543713,-2.14811829885181,-0.851092964131714,-1.7550129211229,-1.41867379779035,-0.959238922703875,-0.853135060904626,-0.823924705926114,-0.860304482109342,-0.847094419048833
"GSM388083.CEL.gz",1.1064046382908,-0.963172814357217,-1.17090998528373,-1.54921357550003,-0.956729562682365,-2.19288494986396,-1.24155406617077,-3.17487085414075,-0.685997903718019,-1.09680958219226,-1.42434386894053,-1.47663960201688,-0.949870809941648,-0.933969771971743,-0.728906503798335,-1.53371323028855,-2.02085917475396,-0.838007874505066,-1.08214816118909,-1.35706351297777,-0.889544227070767,-0.946698834494464,-0.279453764456062,-1.26429652883514,-1.70331721165948,0.514798333574025,-1.13945707549707,-1.37515103909514,-0.747460180226515,-0.830742880554013,-1.03556955783124
"GSM388085.CEL.gz",0.694290502199393,-0.188052451547989,0.336008115482561,-0.094080380001464,0.656330363485608,0.360622567321043,0.504439882838635,-1.04335853425872,0.338686853505106,-0.0370026336183494,0.224658090637233,0.206009278186865,0.0518681699389786,0.726175958218872,-0.441153730935978,0.453527321125455,0.197078678131919,0.732460910637893,0.524594687967354,-0.0409780852136573,0.805562157786904,0.75991599415766,-0.383233411346857,0.230949575822098,0.61113512988821,-0.432061642369176,-0.322554417839155,0.966639034752113,0.292652819796677,-0.313416167941025,2.77067433335852
"GSM388086.CEL.gz",1.77359766644507,-1.61226848307106,-1.09116029100448,-1.55576637848091,-1.01617954824523,-3.20766817396628,-1.24979385251374,-0.885079893370501,-0.978369236531859,-1.0429071144748,-0.675027913376105,-1.54000894686998,-0.658624830372468,-1.03098282124782,-0.634654171782567,-1.67659378654777,-1.71348843697437,0.227267386955857,-0.332299433478122,-0.707710660159746,0.209263043617593,0.250694600209027,-0.777892005681237,-1.03540777476276,-0.742869834559095,-1.96866517021273,-0.723744268881493,-1.28921490089209,-0.610131302237757,-0.910363270473844,-0.614533393148394
"GSM388088.CEL.gz",0.0227646793125226,-1.87408417896283,-1.5652861703766,-1.37366346217507,-0.924804639916012,-2.6111300535039,-1.02290887477669,0.366765389427059,-1.49540691818198,-0.380449853573469,-0.206524301656724,-1.2616171804401,-0.682687912642625,-0.892483125107282,-0.635107367500729,-1.72201165595599,-1.61280728404831,-0.90860358685911,-0.798957988790686,0.120112421100462,-0.911475381074974,-0.95092811649929,-0.636141295192008,-1.73223162776248,-1.62080100717426,-1.14247401997687,0.522397095571111,-1.16427685750513,-1.1409198614319,-0.821461901574668,-0.656327087538335
