ID,X1555137_a_at,X1559360_at,X201250_s_at,X201286_at,X201417_at,X201590_x_at,X202267_at,X202403_s_at,X202504_at,X202935_s_at,X203074_at,X203083_at,X203476_at,X203510_at,X204351_at,X204602_at,X204713_s_at,X205266_at,X205780_at,X205927_s_at,X207714_s_at,X209114_at,X209173_at,X211657_at,X211719_x_at,X212236_x_at,X212354_at,X212886_at,X212942_s_at,X216442_x_at,X217428_s_at,X219901_at,X228923_at,X228933_at,X229553_at,X232202_at,X233090_at,X235629_at,X236129_at,X33323_r_at,group
GSM388141.CEL.gz,6.705066217,4.253818132,9.28589082,8.243483983,9.715336992,12.83079099,10.01950745,13.71228703,6.963661112,9.245602241,7.60508844,11.35470278,9.409365576,10.0163496,10.23459941,7.355681686,7.469376463,8.207818009,8.02061287,11.06289305,10.14554793,8.638644562,10.50356328,11.66253291,12.83533645,11.13032488,10.94772524,6.991803014,6.046936848,12.86359523,10.2044041,7.224660338,5.14028977,7.037146806,8.189057464,6.374688107,7.50180164,7.80337869,5.908913245,9.97536273,Tumor
GSM388142.CEL.gz,7.712791558,5.117891587,8.909667681,9.521557407,10.23530121,13.40791659,10.17393201,13.66556564,10.0618071,10.34755107,8.877215326,11.69229365,9.311427626,10.38661782,11.59460149,8.777551016,7.262573436,8.010190177,9.299049935,12.01546348,9.686611186,10.67337026,10.19644463,12.6818198,13.21447869,10.05895245,11.4690072,5.2170399,8.991990303,13.25481017,10.30305624,8.386019617,6.394871528,7.221735095,9.021793018,6.765707496,7.194725487,7.371264778,7.663070446,11.07126875,Tumor
GSM388143.CEL.gz,6.20844522,5.057352263,9.912570844,9.953800651,9.807480939,13.32549002,10.06561726,13.32754192,10.57192981,10.68375542,7.606188208,11.64813482,9.166037787,9.553258998,12.81127459,5.75432847,8.49448896,8.35110025,9.447924104,12.1503098,9.594905323,10.48473762,12.29535997,11.87998096,12.94795729,9.682820513,11.01739544,5.447547642,7.726167856,13.01941252,10.9131161,6.953819886,7.63706601,7.62883835,8.361508792,6.268318747,6.943613398,6.873432517,7.684323398,10.88395376,Tumor
GSM388144.CEL.gz,6.681205106,5.991952373,10.68290455,10.02799217,10.19340011,13.33578707,10.57844401,13.93490356,8.954241074,10.91830208,7.699925073,12.65942948,9.752930841,9.660591418,12.02410037,8.120806052,7.409203685,7.549740577,9.367028176,11.31669954,10.55528774,10.8370195,11.50206353,12.86767688,13.48263712,12.05489006,11.42031685,5.22243626,8.226495087,13.57216392,11.16540516,7.831630212,8.072971003,7.400115605,9.062528259,7.110371697,7.771175396,7.838933565,6.395265615,10.01039294,Tumor
GSM388145.CEL.gz,5.466017206,3.558059472,7.04649862,7.797751757,9.251891491,11.92187356,7.443438978,12.51550862,7.653103592,9.357059257,6.136714368,10.26894481,8.48679256,8.001632001,7.182413713,4.547688251,5.960249046,6.75619176,7.44268647,9.665207063,8.742971685,7.909343491,8.272552811,8.629878348,12.25105729,7.984739777,9.973237354,7.260280765,6.342168645,12.24914788,9.427878683,6.041429709,4.419533796,5.663991746,7.501386245,5.281313496,6.731653727,5.753772582,4.575571555,7.913758301,Tumor
GSM388146.CEL.gz,6.74178824,4.051123774,7.743762169,9.27191756,9.91992098,12.57141642,8.485346309,13.84876926,8.719858342,9.940898476,5.379400588,11.82830477,9.344406178,9.635648868,12.14096343,5.028551447,8.632438825,8.13973786,8.845865443,12.10492761,10.24213173,9.652564706,12.4400384,12.68754921,12.91224681,7.296416024,10.99410703,5.47562348,8.55974258,12.98824884,10.94809565,7.357855143,9.353751221,7.424049596,8.312653908,7.645099379,7.219931369,7.598966538,8.848208427,10.31766956,Tumor
GSM388147.CEL.gz,7.247176504,4.12278768,7.436546195,8.421561225,9.966120652,12.73760147,9.795947813,13.0661632,6.764224207,10.13462285,6.472392706,11.50318291,9.092165373,9.256803233,10.60407535,5.369794146,8.764434155,7.832310892,7.853086312,12.35288208,9.313706349,8.328378235,11.51125588,11.44019667,12.77291601,9.122510528,10.95122366,6.664101623,7.544146972,12.84702467,9.889346108,7.86841269,7.36037355,6.356780696,7.900821785,6.279094809,6.929526954,6.799625635,6.452755248,9.090803284,Tumor
GSM388148.CEL.gz,5.819382889,3.97212351,6.843015517,8.207630324,9.487398002,12.34800739,8.008051474,12.49698277,6.516755445,9.739928995,5.876519674,10.399557,8.582476889,8.675943055,10.67822226,6.595182118,6.137439895,6.712684352,9.003134136,11.54650196,8.741202561,9.014054546,10.97717507,10.3066989,11.47736281,7.226625371,9.410076001,6.520473313,5.051838573,11.47621465,7.66943495,6.540609516,5.739798458,6.721606258,7.958512281,6.584374551,7.001904042,6.002152507,5.236322528,9.068874894,Tumor
GSM388149.CEL.gz,5.517110773,4.155162591,9.085403998,9.487465221,9.879349686,12.81071611,8.042653542,14.01092143,7.857518076,9.49889405,7.13205586,12.29140961,9.432923634,8.595108508,12.01830715,5.644121277,5.932233717,8.056382757,8.100844388,9.78882522,10.52823415,8.705703771,11.43875188,6.93900089,13.60895167,9.26432831,12.20739704,6.372226852,10.24756003,13.76978732,11.17622925,6.362375711,5.387429516,6.474669046,8.850217416,5.756702822,8.081392632,8.706211979,5.79624196,10.03513269,Tumor
GSM388150.CEL.gz,6.234052362,5.521474011,8.4120852,8.952824855,9.917694212,12.99316668,9.288956942,13.78682833,9.650339638,9.436131495,8.004731588,11.92112867,9.55699339,9.23445062,10.56424362,4.891810228,7.079088791,7.473091042,8.132077453,11.93608685,10.33737941,10.64745263,11.67989468,12.65526442,13.17202957,9.182538388,11.12201924,6.193116412,8.103962349,13.23789371,11.38845393,7.253682349,6.393917421,8.018094124,9.212822076,6.155715512,7.634273946,7.5877457,7.072509156,10.03981461,Tumor
GSM388151.CEL.gz,5.962713604,3.659827903,6.691431738,7.748808063,9.275572725,12.57962901,10.21571871,13.64350189,8.69404898,8.103723671,7.138200364,11.25391825,9.364424516,8.378102193,9.990018816,8.494331178,6.177027765,7.087068627,7.541251515,12.09890406,10.05647255,8.277494487,9.066832748,4.661514151,12.57001221,7.462948028,10.56712882,7.099087481,6.359718649,12.58908556,8.376626144,6.478956277,5.041605591,6.2759466,8.855469755,5.356401486,8.599860939,7.92821529,5.18938027,8.428293193,Tumor
GSM388152.CEL.gz,6.567976538,4.529400999,7.644470409,8.394549273,10.00730301,12.99496563,10.34472322,13.95888405,7.865194216,9.061868671,7.615062042,11.97828948,9.741623836,9.580281462,9.44450599,5.503329798,5.996721451,8.390328658,7.403093463,11.01044607,10.23504527,8.91463863,9.843133908,11.89391038,13.15999157,10.6338647,11.34673305,6.822176918,8.257169173,13.25731342,10.82979724,7.206612579,6.080406084,6.700742018,8.464154205,5.986247263,7.787110362,8.016955126,5.753189744,8.814273139,Tumor
GSM388153.CEL.gz,5.419053898,3.731735706,7.663325726,7.761324527,9.604524468,12.25160222,8.700889702,12.98803164,6.753545454,8.932398126,6.998461569,11.20687446,8.914748011,8.232572939,10.14900252,4.735928007,6.290870821,7.020183821,6.232166491,8.799914886,9.193879121,8.182333875,9.094016363,9.121363204,12.60130268,9.183194721,10.4651975,6.975021363,6.518835431,12.59216072,9.416868914,6.159701556,5.16323236,5.704694314,7.947587162,4.851683465,7.249072092,6.695492302,4.570517267,9.099335357,Tumor
GSM414924.cel.gz,6.104092475,5.186206231,9.080727576,8.542836431,9.974283431,12.98669118,9.38511808,12.73112856,9.00698196,10.44854375,6.897562194,10.07471385,9.748603934,9.581700019,12.36388603,4.38902529,9.211247122,7.315049318,8.754974456,13.12392007,8.35098292,9.292370508,12.69595285,12.84215232,12.21872939,9.441987382,9.750267849,6.055813472,8.011683607,12.07505095,9.388023258,6.941799275,7.899498175,7.722751283,8.430793837,6.840231871,6.178151675,6.242213552,6.094283753,10.1552308,Tumor
GSM414925.cel.gz,6.904938456,6.469658696,7.776970024,8.879281244,10.72401063,13.06432278,9.962761724,13.57322055,10.39615429,9.917641778,9.499893623,11.11466123,10.40113944,10.8119033,12.65559882,5.220300918,6.630024469,8.318625181,8.649584964,11.760206,8.604864604,10.51643463,11.8269815,13.17687688,13.16663861,10.49457901,10.56089171,7.112163704,7.334359879,13.1844309,10.51610553,7.512375841,6.989100169,6.263797884,8.061723614,5.874092825,5.984718243,8.349684789,6.716877891,10.2226114,Tumor
GSM414926.cel.gz,6.221732899,5.243975104,8.158769509,8.493548895,9.741273447,13.2579733,10.27316588,12.89730602,9.858473636,10.22280919,6.457384719,9.321071431,9.394513994,11.14022388,11.99086857,10.76158763,9.685201566,8.077182235,9.329638661,12.57353352,7.830048105,10.5013749,12.46775344,12.90639206,11.74243129,8.74950197,8.882481067,6.693552472,10.04888188,11.68255144,7.914468578,7.133780819,8.175199895,7.29988312,8.72818132,6.414767793,5.886943366,6.626570438,6.518824047,10.70149973,Tumor
GSM414927.cel.gz,4.625856191,4.176351933,5.579127655,7.121585638,8.778984049,11.77419944,5.010710285,11.66640402,5.357754732,9.264145224,5.59395484,8.537487803,8.295285538,7.951760424,7.212682392,3.48170202,7.082937729,5.350395483,6.548282102,8.223143979,7.146305716,7.493409678,9.150531548,10.21080436,10.31653351,5.878071888,6.297808168,8.072209343,4.090295896,9.987462018,6.746205431,5.550069374,3.929771479,4.800215158,6.124203045,5.387999824,4.508141443,4.411785385,3.267554122,5.884319514,Tumor
GSM414928.cel.gz,5.1278807,4.494334024,5.749538761,6.942153565,8.752526613,12.22106597,5.140552137,11.8802722,4.537453012,9.185286881,4.816224529,8.761433525,8.707452029,8.264852128,4.554270025,4.120076727,7.750123083,5.307644498,6.537336033,7.666079561,7.672886185,7.896666917,10.35701325,11.05473703,10.66163323,6.518853087,7.082096416,7.729731206,4.06342863,10.29049344,5.643203469,5.467006393,3.554839713,5.722274693,6.218922062,5.683982769,5.249603553,4.379708326,3.141809103,6.829322832,Normal
GSM414929.cel.gz,5.916476489,5.614652711,7.250707353,8.371517661,9.95584845,13.08976354,7.18028973,13.30780542,10.10099134,9.384055075,7.13120206,9.312472193,9.136740169,9.727628942,13.53793859,9.920603201,7.685136411,6.618919942,7.919575017,11.53452211,8.351729622,10.17466634,12.93347291,12.28158114,11.92172127,10.52388203,10.02761238,6.705298597,10.28953896,11.8423673,8.880145075,6.544424196,6.429026313,5.601295431,7.890244293,6.419553324,5.600992307,5.494882131,5.082832964,10.43302558,Tumor
GSM414930.cel.gz,3.93509522,3.38289896,5.898834117,6.516477442,7.852395067,11.81221306,5.198154306,10.81635848,5.198850658,9.151745217,5.07978982,8.087897927,8.318270569,7.930872223,5.352858755,4.290634664,5.782496275,7.281602785,5.360242314,5.180065204,6.528403427,5.750741769,7.833004968,7.537496689,9.163655046,6.401311478,5.836811484,7.697847485,3.354885324,9.156631225,3.148563158,4.710488006,3.862254447,4.317581722,6.827341338,5.832314715,4.58630861,4.07897554,3.106901241,5.88632217,Normal
GSM414931.cel.gz,6.711765857,6.239697431,8.638362798,8.76763489,10.36221286,13.14145088,10.33407841,13.81634571,10.55158863,9.164426218,6.345485129,11.85669669,9.880750244,10.46442385,11.80942994,8.193094291,8.170367822,8.018127957,9.422438592,11.37038592,9.940179301,10.03538745,12.63556421,11.47872723,13.35402971,10.65859271,10.80166682,4.784870964,10.05235975,13.45193145,11.14195141,7.373486228,7.077638051,6.710165333,8.047569051,6.406792682,6.814451321,6.969511211,5.238941748,10.56402758,Tumor
GSM414932.cel.gz,5.817295782,4.42984467,5.292447261,7.518146751,10.31585528,12.49987618,7.394799555,13.81358513,5.463834378,8.922271664,5.30441119,11.33088985,9.15561702,8.665366814,6.120000809,4.89083196,6.684409963,6.85004194,7.218469051,8.751198579,9.057119362,7.209267051,8.691701196,9.924765256,12.94169538,8.921553568,11.16317844,6.726151181,6.008475263,13.01471886,10.38902813,6.433720381,4.389787687,5.795804906,7.268953545,5.859797697,6.411687031,7.700936185,2.969653041,6.904860108,Normal
GSM414933.cel.gz,5.140356324,4.923858367,8.564607134,9.727972584,9.640647718,13.61528532,9.327339545,13.46211277,8.725054494,10.31918645,5.828460024,10.76409033,9.759848003,10.12842665,11.88631733,8.521726279,8.890552318,8.331710673,9.208432348,12.29579328,9.548819943,11.78378885,13.83488175,10.35091058,12.86619631,10.33749362,9.960456611,4.870080623,7.84352357,12.8726546,10.00527585,6.363664335,8.630247338,6.595630219,9.094057763,6.201632795,6.821626872,6.880712987,6.528803195,11.10746916,Tumor
GSM414934.cel.gz,3.762664308,4.101101927,5.799322394,6.526506674,8.991681194,11.91845109,4.630337156,13.714024,4.103101071,5.12519102,5.253606677,10.21705408,9.366989859,6.850379751,4.850361522,3.85168163,6.152976551,6.495452235,5.013873468,5.104030273,8.998161356,5.889146686,6.560397261,2.962727488,12.2864238,5.859001674,9.394791802,6.984985696,6.055779109,12.19601214,9.283052825,4.231639865,4.03980254,6.013721738,6.816674629,3.536891665,7.259063197,7.013345281,3.2969508,5.431385765,Normal
GSM414935.cel.gz,6.44250557,5.260909019,8.34431764,8.00578334,10.06428409,12.90407921,9.166948229,13.68983409,8.757090103,9.299896841,8.536391868,11.64792534,9.565827786,10.04651841,10.5071888,8.146080903,6.60866891,7.79907792,7.030559079,10.07780866,9.179689886,9.126970301,11.22024163,12.60029833,13.17464023,9.804927811,11.08999111,6.409032865,6.530307989,13.18912652,10.8885899,7.329752259,5.037660849,7.301147708,7.749642179,6.372753805,6.790276837,7.62221523,4.652664067,9.993335795,Tumor
GSM414936.cel.gz,7.009043147,5.737004474,7.787179827,8.347504118,10.36452421,13.56370102,7.990348856,13.64330185,8.415527048,8.61896509,9.900655277,11.1806093,9.120164828,10.50692181,12.29955612,8.663985281,7.113121614,6.825818288,8.296229098,11.07109722,9.309245588,8.620497649,11.28883242,11.47975657,13.17141857,9.879134063,10.70984176,6.004912509,7.515406897,13.1722168,10.78110448,7.671425771,7.123651615,7.049305653,7.005834688,5.537219542,5.259618387,6.834481257,6.36745843,10.17622411,Tumor
GSM414937.cel.gz,6.915288484,4.818594012,9.109417779,8.615923773,10.06212142,13.22221026,8.564367779,13.70116351,10.91082461,9.173025229,9.032728621,11.09069881,9.675472214,9.697063478,10.49060418,7.964988803,8.200320266,7.19743759,7.722718783,12.13229214,9.058967853,10.24278483,12.16231097,12.19234551,13.02643115,10.03395181,10.57386055,6.548907278,7.558420408,13.08162785,10.5611126,7.41594395,5.796641127,7.146642863,8.308543778,6.120822549,5.547466006,7.326426013,6.09072875,10.94437903,Tumor
